Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
549,tt0373883,2022-10-29,2022-10-29,,"Halloween","Halloween",https://www.imdb.com/title/tt0373883/,Movie,6.1,109,2007,"Horror",138058,2007-08-31,"Rob Zombie",6,2022-10-29
550,tt1311067,2022-10-29,2022-10-29,,"Halloween II","Halloween II",https://www.imdb.com/title/tt1311067/,Movie,4.8,105,2009,"Horror",63657,2009-08-28,"Rob Zombie",5,2022-10-29
551,tt1262416,2022-10-29,2022-10-29,,"Scream 4","Scream 4",https://www.imdb.com/title/tt1262416/,Movie,6.2,111,2011,"Horror, Mystery",186480,2011-04-15,"Wes Craven",5,2022-10-29
552,tt0134084,2022-10-29,2022-10-29,,"Scream 3","Scream 3",https://www.imdb.com/title/tt0134084/,Movie,5.7,116,2000,"Horror, Mystery",180350,2000-02-04,"Wes Craven",5,2022-10-29
553,tt1731697,2022-10-29,2022-10-29,,"The Lords of Salem","The Lords of Salem",https://www.imdb.com/title/tt1731697/,Movie,5.2,101,2012,"Horror, Thriller",34085,2013-04-18,"Rob Zombie",6,2022-10-29
554,tt21153628,2022-10-29,2022-10-29,,"The Final Rose","The Final Rose",https://www.imdb.com/title/tt21153628/,Movie,4.7,91,2022,"Horror, Mystery, Thriller",340,2022-10-14,"Tim Cruz",5,2022-10-29
555,tt0162661,2022-10-29,2022-10-29,,"Sleepy Hollow","Sleepy Hollow",https://www.imdb.com/title/tt0162661/,Movie,7.3,105,1999,"Fantasy, Horror, Mystery",409850,1999-11-19,"Tim Burton",4,2022-10-29
556,tt9347730,2022-10-29,2022-10-29,,"Candyman","Candyman",https://www.imdb.com/title/tt9347730/,Movie,5.9,91,2021,"Horror, Thriller",82481,2021-08-27,"Nia DaCosta",8,2022-10-29
557,tt10665338,2022-10-29,2022-10-29,,"Halloween Kills","Halloween Kills",https://www.imdb.com/title/tt10665338/,Movie,5.5,105,2021,"Horror, Thriller",107259,2021-10-15,"David Gordon Green",7,2022-10-29
558,tt11245972,2022-10-29,2022-10-29,,"Scream","Scream",https://www.imdb.com/title/tt11245972/,Movie,6.3,114,2022,"Horror, Mystery, Thriller",182316,2022-01-14,"Matt Bettinelli-Olpin, Tyler Gillett",6,2022-11-03
559,tt0091083,2022-10-29,2022-10-29,,"From Beyond","From Beyond",https://www.imdb.com/title/tt0091083/,Movie,6.6,85,1986,"Horror, Sci-Fi",34769,1986-10-24,"Stuart Gordon",7,2022-10-29
560,tt0099180,2022-10-29,2022-10-29,,"Bride of Re-Animator","Bride of Re-Animator",https://www.imdb.com/title/tt0099180/,Movie,6.2,96,1990,"Comedy, Horror, Sci-Fi",18971,1990-07-08,"Brian Yuzna",5,2022-10-29
561,tt0930083,2022-10-29,2022-10-29,,"Noroi","Noroi",https://www.imdb.com/title/tt0930083/,Movie,6.8,115,2005,"Horror, Mystery, Thriller",18765,2017-06-01,"Kôji Shiraishi",8,2022-10-29
562,tt1139668,2022-10-29,2022-10-29,,"The Unborn","The Unborn",https://www.imdb.com/title/tt1139668/,Movie,4.7,88,2009,"Horror, Mystery, Thriller",54579,2009-01-09,"David S. Goyer",,
563,tt1161864,2022-10-29,2022-10-29,,"The Rite","The Rite",https://www.imdb.com/title/tt1161864/,Movie,6.0,114,2011,"Drama, Horror, Mystery, Thriller",105683,2011-01-28,"Mikael Håfström",8,2022-10-29
564,tt3305844,2022-10-31,2022-10-31,,"Hellions","Hellions",https://www.imdb.com/title/tt3305844/,Movie,4.2,80,2015,"Drama, Horror, Thriller",3551,2016-09-22,"Bruce McDonald",4,2022-10-31
565,tt14549466,2022-11-03,2022-11-03,,"Crimes of the Future","Crimes of the Future",https://www.imdb.com/title/tt14549466/,Movie,5.8,107,2022,"Drama, Horror, Sci-Fi, Thriller",46295,2022-05-25,"David Cronenberg",8,2022-11-03
566,tt6544220,2022-11-03,2022-11-03,,"The Mandela Effect","The Mandela Effect",https://www.imdb.com/title/tt6544220/,Movie,5.8,79,2019,"Drama, Horror, Sci-Fi, Thriller",5656,2019-12-06,"David Guy Levy",6,2022-11-03
567,tt8368406,2022-11-03,2022-11-03,,"Vivarium","Vivarium",https://www.imdb.com/title/tt8368406/,Movie,5.9,97,2019,"Horror, Mystery, Sci-Fi",88342,2020-03-27,"Lorcan Finnegan",7,2022-11-03
568,tt7347846,2022-11-03,2022-11-03,,"The Lodge","The Lodge",https://www.imdb.com/title/tt7347846/,Movie,6.0,108,2019,"Drama, Horror, Mystery, Thriller",64035,2020-01-16,"Severin Fiala, Veronika Franz",7,2022-11-03
569,tt0222812,2022-11-03,2022-11-03,,"Beyond Re-Animator","Beyond Re-Animator",https://www.imdb.com/title/tt0222812/,Movie,5.7,96,2003,"Comedy, Horror, Sci-Fi",13866,2003-07-25,"Brian Yuzna",,
570,tt7126746,2022-11-03,2022-11-03,,"Truth or Dare","Truth or Dare",https://www.imdb.com/title/tt7126746/,TV Movie,5.0,88,2017,"Horror, Mystery, Thriller",5769,2017-10-08,"Nick Simon",,
